OBJECTNUMMER;Modaliteit;Lijn;Lijn_select;RADIUS;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
184;"Metro";"1 | 7 | 19 | 51 | 53 | 54";"01|07|19|51|53|54";5;"POINT(4.907983,52.361166)";"POINT(52.361166,4.907983)";"4,907983";"52,361166";
185;"Metro";"51 | 53 | 54";"51|53|54";5;"POINT(4.912128,52.354326)";"POINT(52.354326,4.912128)";"4,912128";"52,354326";
186;"Tram";"24";"24";3;"POINT(4.858529,52.345265)";"POINT(52.345265,4.858529)";"4,858529";"52,345265";
187;"Tram";"24";"24";3;"POINT(4.866262,52.346333)";"POINT(52.346333,4.866262)";"4,866262";"52,346333";
188;"Tram";"5 | 24";"05|24";3;"POINT(4.877281,52.349092)";"POINT(52.349092,4.877281)";"4,877281";"52,349092";
189;"Metro";"51 | 53 | 54";"51|53|54";5;"POINT(4.901306,52.371913)";"POINT(52.371913,4.901306)";"4,901306";"52,371913";
190;"Metro";"12 | 51 | 53 | 54";"12|51|53|54";5;"POINT(4.918302,52.346656)";"POINT(52.346656,4.918302)";"4,918302";"52,346656";
191;"Metro";"50 | 53 | 54";"50|53|54";5;"POINT(4.930305,52.329671)";"POINT(52.329671,4.930305)";"4,930305";"52,329671";
192;"Metro";"53";"53";5;"POINT(4.966764,52.328617)";"POINT(52.328617,4.966764)";"4,966764";"52,328617";
193;"Metro";"53";"53";5;"POINT(4.973049,52.323624)";"POINT(52.323624,4.973049)";"4,973049";"52,323624";
194;"Metro";"53";"53";5;"POINT(4.979459,52.316611)";"POINT(52.316611,4.979459)";"4,979459";"52,316611";
195;"Metro";"53";"53";5;"POINT(4.984554,52.311028)";"POINT(52.311028,4.984554)";"4,984554";"52,311028";
196;"Metro";"53";"53";5;"POINT(4.946234,52.32673)";"POINT(52.32673,4.946234)";"4,946234";"52,32673";
197;"Tram";"7 | 17";"07|17";3;"POINT(4.859681,52.364718)";"POINT(52.364718,4.859681)";"4,859681";"52,364718";
198;"Tram";"7";"07";3;"POINT(4.852487,52.367167)";"POINT(52.367167,4.852487)";"4,852487";"52,367167";
199;"Tram";"13 | 19";"13|19";3;"POINT(4.859972,52.371492)";"POINT(52.371492,4.859972)";"4,859972";"52,371492";
200;"Tram";"7 | 17";"07|17";3;"POINT(4.862706,52.364804)";"POINT(52.364804,4.862706)";"4,862706";"52,364804";
201;"Tram";"5 | 50 | 51 | 52";"05|50|51|52";3;"POINT(4.873149,52.340158)";"POINT(52.340158,4.873149)";"4,873149";"52,340158";
202;"Tram";"1 | 17 | 50 | 51";"01|17|50|51";3;"POINT(4.834378,52.357887)";"POINT(52.357887,4.834378)";"4,834378";"52,357887";
203;"Tram";"19 | 50 | 51";"19|50|51";3;"POINT(4.83889,52.388596)";"POINT(52.388596,4.83889)";"4,83889";"52,388596";
204;"Tram";"13 | 50 | 51";"13|50|51";3;"POINT(4.835503,52.37312)";"POINT(52.37312,4.835503)";"4,835503";"52,37312";
205;"Tram";"7 | 50 | 51";"07|50|51";3;"POINT(4.837885,52.37883)";"POINT(52.37883,4.837885)";"4,837885";"52,37883";
206;"Tram";"2 | 50 | 51";"02|50|51";3;"POINT(4.834339,52.351498)";"POINT(52.351498,4.834339)";"4,834339";"52,351498";
207;"Tram";"24 | 50 | 51";"24|50|51";3;"POINT(4.857276,52.338387)";"POINT(52.338387,4.857276)";"4,857276";"52,338387";
208;"Tram";"4 | 50 | 51";"04|50|51";3;"POINT(4.890729,52.336999)";"POINT(52.336999,4.890729)";"4,890729";"52,336999";
209;"Tram";"2 | 4 | 11 | 12 | 13 | 14 | 17 | 24 | 26 | 51 | 52 | 53 | 54";"02|04|11|12|13|14|17|24|26|51|52|53|54";3;"POINT(4.899778,52.37802)";"POINT(52.37802,4.899778)";"4,899778";"52,37802";
210;"Tram";"14 | 51 | 53 | 54";"14|51|53|54";3;"POINT(4.902406,52.367342)";"POINT(52.367342,4.902406)";"4,902406";"52,367342";
211;"Tram";"1 | 7 | 19 | 51 | 53 | 54";"01|07|19|51|53|54";3;"POINT(4.907983,52.361166)";"POINT(52.361166,4.907983)";"4,907983";"52,361166";
212;"Tram";"12 | 51 | 53 | 54";"12|51|53|54";3;"POINT(4.918302,52.346656)";"POINT(52.346656,4.918302)";"4,918302";"52,346656";
213;"Metro";"53";"53";5;"POINT(4.956452,52.330263)";"POINT(52.330263,4.956452)";"4,956452";"52,330263";
214;"Tram";"26";"26";3;"POINT(4.968966,52.368932)";"POINT(52.368932,4.968966)";"4,968966";"52,368932";
215;"Tram";"13 | 17";"13|17";3;"POINT(4.884111,52.374028)";"POINT(52.374028,4.884111)";"4,884111";"52,374028";
216;"Tram";"24";"24";3;"POINT(4.891992,52.362786)";"POINT(52.362786,4.891992)";"4,891992";"52,362786";
217;"Metro";"4 | 52";"04|52";5;"POINT(4.891992,52.340211)";"POINT(52.340211,4.891992)";"4,891992";"52,340211";
218;"Metro";"52";"52";5;"POINT(4.918657,52.388895)";"POINT(52.388895,4.918657)";"4,918657";"52,388895";
219;"Metro";"52";"52";5;"POINT(4.932234,52.40187)";"POINT(52.40187,4.932234)";"4,932234";"52,40187";
220;"Metro";"4 | 14 | 24 | 52";"04|14|24|52";5;"POINT(4.892383,52.369793)";"POINT(52.369793,4.892383)";"4,892383";"52,369793";
221;"Metro";"1 | 7 | 19 | 24 | 52";"01|07|19|24|52";5;"POINT(4.890948,52.359625)";"POINT(52.359625,4.890948)";"4,890948";"52,359625";
222;"Metro";"3 | 12 | 24 | 52";"03|12|24|52";5;"POINT(4.891112,52.352783)";"POINT(52.352783,4.891112)";"4,891112";"52,352783";

