OBJECTNUMMER;Modaliteit;Lijn;Lijn_select;RADIUS;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
117;"Tram";"2";"02";3;"POINT(4.863509,52.353219)";"POINT(52.353219,4.863509)";"4,863509";"52,353219";
118;"Tram";"2";"02";3;"POINT(4.840882,52.351544)";"POINT(52.351544,4.840882)";"4,840882";"52,351544";
119;"Tram";"2";"02";3;"POINT(4.824631,52.346687)";"POINT(52.346687,4.824631)";"4,824631";"52,346687";
120;"Tram";"2";"02";3;"POINT(4.827482,52.349157)";"POINT(52.349157,4.827482)";"4,827482";"52,349157";
121;"Tram";"2";"02";3;"POINT(4.84994,52.351302)";"POINT(52.351302,4.84994)";"4,84994";"52,351302";
122;"Tram";"2 | 3 | 5 | 12";"02|03|05|12";3;"POINT(4.878568,52.358142)";"POINT(52.358142,4.878568)";"4,878568";"52,358142";
123;"Tram";"5";"05";3;"POINT(4.876776,52.342897)";"POINT(52.342897,4.876776)";"4,876776";"52,342897";
124;"Tram";"5 | 24";"05|24";3;"POINT(4.876907,52.34709)";"POINT(52.34709,4.876907)";"4,876907";"52,34709";
125;"Tram";"24";"24";3;"POINT(4.872533,52.346729)";"POINT(52.346729,4.872533)";"4,872533";"52,346729";
126;"Tram";"26";"26";3;"POINT(5.004306,52.350943)";"POINT(52.350943,5.004306)";"5,004306";"52,350943";
127;"Tram";"19";"19";3;"POINT(4.927082,52.357206)";"POINT(52.357206,4.927082)";"4,927082";"52,357206";
128;"Tram";"26";"26";3;"POINT(4.913026,52.37724)";"POINT(52.37724,4.913026)";"4,913026";"52,37724";
129;"Tram";"26";"26";3;"POINT(4.921583,52.376115)";"POINT(52.376115,4.921583)";"4,921583";"52,376115";
130;"Tram";"26";"26";3;"POINT(4.961515,52.372019)";"POINT(52.372019,4.961515)";"4,961515";"52,372019";
131;"Tram";"26";"26";3;"POINT(4.98044,52.362986)";"POINT(52.362986,4.98044)";"4,98044";"52,362986";
132;"Tram";"26";"26";3;"POINT(4.990814,52.357577)";"POINT(52.357577,4.990814)";"4,990814";"52,357577";
133;"Tram";"26";"26";3;"POINT(4.995227,52.35523)";"POINT(52.35523,4.995227)";"4,995227";"52,35523";
134;"Tram";"26";"26";3;"POINT(4.999645,52.352879)";"POINT(52.352879,4.999645)";"4,999645";"52,352879";
135;"Tram";"3";"03";3;"POINT(4.885244,52.38806)";"POINT(52.38806,4.885244)";"4,885244";"52,38806";
136;"Tram";"1 | 3";"01|03";3;"POINT(4.917045,52.358582)";"POINT(52.358582,4.917045)";"4,917045";"52,358582";
137;"Tram";"3 | 5";"03|05";3;"POINT(4.878628,52.378387)";"POINT(52.378387,4.878628)";"4,878628";"52,378387";
