OBJECTNUMMER;Objectnummer;Soort;Voeding;Rotatie;Actief;Privacyverklaring;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
48;"GAAB-04";"Telcamera";"Eigen voeding via lichtnet";225;"Nee";"";"POINT(4.9374726,52.3145102)";"POINT(52.3145102,4.9374726)";"4,9374726";"52,3145102";
49;"GAAB-04";"WiFi sensor";"Eigen voeding via lichtnet";0;"Nee";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaringen-e/crowdmanagement/";"POINT(4.9375322,52.3144592)";"POINT(52.3144592,4.9375322)";"4,9375322";"52,3144592";
50;"GAAB-05";"Telcamera";"Eigen voeding via lichtnet";350;"Nee";"";"POINT(4.9389949,52.3153224)";"POINT(52.3153224,4.9389949)";"4,9389949";"52,3153224";
51;"GAAB-05";"WiFi sensor";"Eigen voeding via lichtnet";0;"Nee";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaringen-e/crowdmanagement/";"POINT(4.9389889,52.3152313)";"POINT(52.3152313,4.9389889)";"4,9389889";"52,3152313";
52;"GAAB-06";"Telcamera";"Eigen voeding via lichtnet";340;"Nee";"";"POINT(4.9414129,52.3161848)";"POINT(52.3161848,4.9414129)";"4,9414129";"52,3161848";
53;"GAAB-06";"WiFi sensor";"Eigen voeding via lichtnet";0;"Nee";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaringen-e/crowdmanagement/";"POINT(4.9414881,52.3160974)";"POINT(52.3160974,4.9414881)";"4,9414881";"52,3160974";
54;"GVCV01";"Telcamera";"Vaste spanning";30;"Ja";"";"POINT(4.899049,52.3806729)";"POINT(52.3806729,4.899049)";"4,899049";"52,3806729";
55;"GVCV02";"Telcamera";"Vaste spanning";30;"Nee";"";"POINT(4.8992019,52.3806107)";"POINT(52.3806107,4.8992019)";"4,8992019";"52,3806107";
57;"GVCV04";"Telcamera";"Eigen voeding via lichtnet";30;"Ja";"";"POINT(4.8995292,52.3805091)";"POINT(52.3805091,4.8995292)";"4,8995292";"52,3805091";
58;"GVCV03";"Telcamera";"Vaste spanning";30;"Ja";"";"POINT(4.8993655,52.3805599)";"POINT(52.3805599,4.8993655)";"4,8993655";"52,3805599";
59;"GVCV05";"Telcamera";"Vaste spanning";20;"Ja";"";"POINT(4.901522,52.3797707)";"POINT(52.3797707,4.901522)";"4,901522";"52,3797707";
62;"GAKW-05";"WiFi sensor";"Eigen voeding via lichtnet";0;"Ja";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaringen-e/crowdmanagement/";"POINT(4.8922577,52.3693826)";"POINT(52.3693826,4.8922577)";"4,8922577";"52,3693826";
63;"GAKS-06";"WiFi sensor";"Eigen voeding via lichtnet";0;"Ja";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaringen-e/crowdmanagement/";"POINT(4.8916783,52.3690026)";"POINT(52.3690026,4.8916783)";"4,8916783";"52,3690026";
64;"GAKW-04";"WiFi sensor";"Eigen voeding via lichtnet";0;"Ja";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaringen-e/crowdmanagement/";"POINT(4.8916418,52.3679201)";"POINT(52.3679201,4.8916418)";"4,8916418";"52,3679201";
65;"X";"3D sensor";"Eigen voeding via lichtnet";0;"Ja";"";"POINT(4.9007344,52.3722088)";"POINT(52.3722088,4.9007344)";"4,9007344";"52,3722088";
66;"X";"WiFi sensor";"Eigen voeding via lichtnet";0;"Ja";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaringen-e/crowdmanagement/";"POINT(4.9008,52.3721743)";"POINT(52.3721743,4.9008)";"4,9008";"52,3721743";
67;"X";"3D sensor";"Eigen voeding via lichtnet";0;"Ja";"";"POINT(4.90018,52.37824)";"POINT(52.37824,4.90018)";"4,90018";"52,37824";
68;"X";"WiFi sensor";"Eigen voeding via lichtnet";0;"Ja";"https://www.amsterdam.nl/privacy/specifieke/privacyverklaringen-e/crowdmanagement/";"POINT(4.8999833,52.3783056)";"POINT(52.3783056,4.8999833)";"4,8999833";"52,3783056";

