,Objectnummer,LNG,LAT
0,GAWW-03,"4,8973932","52,3725037"
3,GAWW-02,"4,8989027","52,3737857"
5,GAWW-01,"4,8998471","52,3746006"
6,GAWW-05,"4,8977166","52,3723534"
9,GAWW-06,"4,8980888","52,3724579"
12,GAWW-04,"4,8979076","52,373283"
13,GAWW-07,"4,9003543","52,3744545"
22,GAKW-01,"4,8920937","52,3725224"
23,GAKW-02,"4,8916994","52,3708124"
52,GVCV01,"4,899049","52,3806729"
54,GVCV04,"4,8995292","52,3805091"
55,GVCV03,"4,8993655","52,3805599"
56,GVCV05,"4,901522","52,3797707"
